game_id,win,duration,avg_kda,avg_gold_per_min,avg_damage_champ_per_min,avg_vision_score,baron_kills,dragon_kills,tower_kills
3736273217,1,1687,5.4,401.8897451096621,673.5577949021932,30.2,1,2,5
3736298403,0,1580,1.7133333333333334,329.11898734177214,514.1088607594936,21.2,0,2,2
3736298403,1,1580,6.4799999999999995,402.65316455696205,709.9518987341773,21.2,0,2,8
3736300145,0,1981,1.9137362637362638,366.4512872286724,684.1998990408886,24.0,0,1,4
3736300145,1,1981,4.698076923076923,429.037859666835,982.4734982332157,21.0,2,4,13
3736325650,0,2256,1.8156769374416435,389.80319148936167,890.0851063829787,31.8,1,2,3
3736325650,1,2256,3.5016849816849813,406.6010638297872,769.8297872340424,29.6,1,3,9
3736328345,0,1827,1.4854761904761904,368.45977011494256,729.3004926108375,26.4,0,3,3
3736328345,1,1827,3.3,419.32348111658456,1037.2676518883416,25.4,1,1,10
3736377992,0,2227,2.2864357864357863,387.26537943421647,1040.675348001796,29.0,1,3,6
3736377992,1,2227,2.496969696969697,385.11540188594523,1100.5460260440054,31.8,1,2,5
3736433832,0,2181,3.836363636363637,382.828060522696,1132.4621733149932,35.8,0,1,4
3736433832,1,2181,3.0566666666666666,388.96836313617604,943.1526822558459,37.8,0,3,11
3736465292,0,1455,1.0847619047619048,341.6164948453608,541.4268041237113,22.6,0,1,1
3736465292,1,1455,5.516666666666667,405.8721649484536,701.3938144329898,22.0,0,2,6
3736483447,0,2761,1.5437373737373736,347.8913437160449,780.6475914523724,39.8,1,2,3
3736483447,1,2761,5.81,390.9670409272003,853.0431003259688,47.2,1,5,8
3736516173,0,2499,2.2042307692307697,382.8859543817527,1095.625450180072,37.0,0,2,5
3736516173,1,2499,2.928246753246753,406.5546218487395,963.9327731092437,40.8,1,4,8
3736527374,0,1799,1.8956565656565658,357.03835464146744,683.2929405225125,21.0,0,1,1
3736527374,1,1799,4.178412698412698,422.05447470817126,1022.1211784324623,25.8,1,3,10
3736538520,0,1483,1.1206349206349207,313.06810519217805,669.1031692515172,17.0,0,0,0
3736538520,1,1483,7.253333333333333,421.3513149022252,829.2461227242078,17.4,0,3,9
3736551972,0,953,0.6,279.7019937040924,283.84470094438615,8.6,0,0,0
3736551972,1,953,4.7,446.99685204617,409.03252885624346,9.6,0,1,7
3736555800,0,2010,1.9470707070707072,389.6955223880597,886.4537313432836,32.0,0,0,3
3736555800,1,2010,3.033333333333333,409.9940298507463,928.3940298507463,31.4,1,4,9
3736600890,0,1915,1.715018315018315,328.07937336814615,626.66318537859,33.8,0,1,3
3736600890,1,1915,7.626666666666667,402.24125326370756,829.691906005222,32.0,1,4,11
3736612773,0,466,0.5,277.77682403433477,197.43347639484978,3.2,0,0,0
3736612773,1,466,1.4,311.7424892703863,239.56223175965664,3.0,0,1,0
3736617653,0,1018,0.99,307.02554027504914,520.2082514734775,11.0,0,0,0
3736617653,1,1018,7.333333333333333,401.3398821218075,566.0864440078586,10.4,0,2,2
3736617803,0,1467,1.5933333333333333,351.7709611451943,585.8568507157464,22.4,0,3,2
3736617803,1,1467,5.61,445.47239263803675,719.4601226993866,23.8,0,0,10
3736624841,0,2374,1.2645299145299145,405.84667228306654,874.5745577085088,32.8,1,2,7
